gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,ENTREZID
RBM42,7.19E-100,0.360633612,0.865,0.576,1.61E-95,IM,79171
RTRAF,1.28E-99,0.389631072,0.928,0.9,2.87E-95,IM,51637
SLC1A5,2.01E-99,0.381505457,0.777,0.437,4.50E-95,IM,6510
HSBP1,3.21E-99,0.351739704,0.937,0.914,7.19E-95,IM,3281
TBCB,3.50E-99,0.405156796,0.902,0.787,7.84E-95,IM,1155
SNRPD3,3.78E-99,0.399752146,0.937,0.878,8.47E-95,IM,6634
ARF1,4.02E-99,0.387532049,0.93,0.895,9.00E-95,IM,375
TIMM13,3.51E-69,0.376169705,0.981,0.923,7.85E-65,Myeloid,26517
TIMM13,7.69E-99,0.372935443,0.944,0.927,1.72E-94,IM,26517
SAP18,8.11E-99,0.337452744,0.935,0.92,1.81E-94,IM,10284
DDX5,1.17E-98,0.419815216,0.954,0.903,2.63E-94,IM,1655
TPI1,3.61E-98,0.359763926,0.965,0.97,8.08E-94,IM,7167
TCP1,6.51E-98,0.476367577,0.922,0.805,1.46E-93,IM,6950
NIPSNAP1,9.45E-98,0.288123493,0.683,0.315,2.12E-93,IM,8508
ACOT7,1.65E-97,0.322274696,0.74,0.372,3.69E-93,IM,11332
PSMD3,2.22E-97,0.380157595,0.852,0.577,4.97E-93,IM,5709
TOMM40,8.75E-97,0.458989552,0.891,0.697,1.96E-92,IM,10452
TOMM40,1.77E-45,0.314741773,0.9,0.703,3.96E-41,Myeloid,10452
SNRPD1,9.60E-97,0.380383538,0.953,0.936,2.15E-92,IM,6632
TMEM205,1.19E-96,0.287364931,0.689,0.304,2.67E-92,IM,374882
PRPF19,5.31E-96,0.347506458,0.838,0.498,1.19E-91,IM,27339
PSMA4,5.37E-96,0.383384188,0.941,0.907,1.20E-91,IM,5685
ANP32A,1.28E-95,0.470790227,0.93,0.826,2.87E-91,IM,8125
CSE1L,2.46E-95,0.355355808,0.781,0.408,5.51E-91,IM,1434
LAPTM4A,3.11E-95,0.41687324,0.837,0.569,6.95E-91,IM,9741
KRT18,3.24E-95,0.52804734,0.902,0.776,7.25E-91,IM,3875
MORF4L2,6.52E-95,0.420961601,0.916,0.817,1.46E-90,IM,9643
WDR77,6.52E-95,0.334437506,0.774,0.438,1.46E-90,IM,79084
NAE1,6.53E-95,0.403358377,0.83,0.518,1.46E-90,IM,8883
C12orf45,6.65E-95,0.327342595,0.828,0.485,1.49E-90,IM,121053
MRPS9,1.02E-94,0.277132948,0.734,0.366,2.28E-90,IM,64965
PTOV1,1.10E-94,0.373756214,0.852,0.597,2.46E-90,IM,53635
PSMD4,2.77E-94,0.366311008,0.913,0.836,6.20E-90,IM,5710
WDR74,4.43E-94,0.28181269,0.743,0.37,9.92E-90,IM,54663
LDHB,5.08E-94,0.396365181,0.962,0.971,1.14E-89,IM,3945
TKT,8.21E-94,0.409646261,0.909,0.796,1.84E-89,IM,7086
KDM1A,1.44E-93,0.38888664,0.821,0.509,3.22E-89,IM,23028
WDR18,1.93E-93,0.349876348,0.821,0.535,4.32E-89,IM,57418
PKIG,2.20E-93,0.328586418,0.777,0.449,4.92E-89,IM,11142
TUFM,5.05E-37,0.251241086,0.951,0.857,1.13E-32,Myeloid,7284
TUFM,4.81E-93,0.404686121,0.93,0.857,1.08E-88,IM,7284
AATF,7.47E-93,0.285554086,0.703,0.336,1.67E-88,IM,26574
DCAF13,1.03E-92,0.379016108,0.799,0.467,2.29E-88,IM,25879
NOP58,1.58E-92,0.408546792,0.847,0.538,3.53E-88,IM,51602
SLC2A4RG,4.27E-92,0.283233244,0.693,0.316,9.55E-88,IM,56731
POLR2C,4.82E-92,0.334194816,0.783,0.482,1.08E-87,IM,5432
CDC123,3.53E-91,0.401872196,0.863,0.663,7.90E-87,IM,8872
AAMP,1.16E-90,0.358742771,0.825,0.535,2.60E-86,IM,14
ARL3,1.36E-90,0.282450777,0.749,0.411,3.04E-86,IM,403
RPN2,1.80E-90,0.395581589,0.881,0.673,4.03E-86,IM,6185
HACD3,1.85E-90,0.424819856,0.834,0.534,4.14E-86,IM,51495
LSM7,1.19E-67,0.332076584,0.985,0.907,2.66E-63,Myeloid,51690
LSM7,2.30E-90,0.35581669,0.94,0.912,5.16E-86,IM,51690
APP,2.77E-90,0.339005081,0.781,0.433,6.21E-86,IM,351
TSPAN5,3.49E-90,0.332977886,0.677,0.32,7.82E-86,IM,10098
AIMP2,3.75E-90,0.335904687,0.787,0.476,8.40E-86,IM,7965
MVB12A,4.38E-90,0.351681634,0.786,0.453,9.81E-86,IM,93343
PES1,7.35E-90,0.268340728,0.715,0.35,1.65E-85,IM,23481
MRTO4,1.34E-89,0.33224846,0.803,0.458,2.99E-85,IM,51154
FDPS,2.39E-89,0.402827412,0.927,0.85,5.34E-85,IM,2224
SYNCRIP,1.47E-88,0.455491027,0.907,0.749,3.30E-84,IM,10492
TMED9,5.26E-47,0.288257263,0.919,0.779,1.18E-42,Myeloid,54732
TMED9,1.50E-88,0.378031779,0.902,0.777,3.35E-84,IM,54732
PDHB,2.13E-88,0.38506034,0.838,0.607,4.76E-84,IM,5162
RALA,3.58E-88,0.317646906,0.8,0.496,8.00E-84,IM,5898
NDUFA12,3.84E-88,0.344062678,0.894,0.809,8.60E-84,IM,55967
HSPA9,4.78E-88,0.438404497,0.894,0.699,1.07E-83,IM,3313
RSL1D1,2.04E-75,0.282034059,0.953,0.761,4.57E-71,MPP-pre-MC,26156
RSL1D1,7.17E-88,0.433404982,0.916,0.769,1.60E-83,IM,26156
TRAPPC4,1.01E-87,0.35341633,0.828,0.598,2.27E-83,IM,51399
AP1B1,1.40E-87,0.322666531,0.774,0.438,3.14E-83,IM,162
PTBP1,1.54E-87,0.427549588,0.924,0.79,3.45E-83,IM,5725
PSMG1,1.60E-87,0.343516856,0.831,0.551,3.59E-83,IM,8624
PRMT5,3.90E-87,0.262843822,0.651,0.3,8.73E-83,IM,10419
ARHGDIA,9.37E-87,0.380985171,0.915,0.858,2.10E-82,IM,396
SKP1,1.02E-86,0.382010921,0.943,0.938,2.28E-82,IM,6500
TSPAN3,1.40E-86,0.262952361,0.727,0.372,3.13E-82,IM,10099
EIF5AL1,2.82E-86,0.366087558,0.868,0.629,6.31E-82,IM,143244
FARSA,3.47E-86,0.309381041,0.841,0.569,7.76E-82,IM,2193
PUF60,3.47E-86,0.361614517,0.846,0.601,7.77E-82,IM,22827
MRPL47,6.95E-86,0.356366958,0.884,0.729,1.55E-81,IM,57129
RPL36,3.46E-96,0.289201806,0.998,0.994,7.74E-92,Myeloid,25873
RPL36,9.14E-86,0.263431054,0.99,0.995,2.05E-81,IM,25873
RPL36,8.68E-140,0.298039328,0.999,0.994,1.94E-135,MPP-pre-MC,25873
DPY30,9.79E-86,0.34701745,0.893,0.743,2.19E-81,IM,84661
STRAP,2.03E-85,0.386378243,0.897,0.814,4.55E-81,IM,11171
CIAPIN1,2.52E-85,0.351122819,0.79,0.512,5.65E-81,IM,57019
TRMT10C,5.38E-85,0.410171057,0.838,0.555,1.20E-80,IM,54931
GCA,7.61E-85,0.290760991,0.696,0.355,1.70E-80,IM,25801
HMGB3,8.37E-85,0.461980108,0.89,0.674,1.87E-80,IM,3149
HDGFL3,8.55E-85,0.292148978,0.755,0.418,1.91E-80,IM,50810
FKBP3,9.21E-85,0.385009028,0.913,0.842,2.06E-80,IM,2287
EXOSC5,1.55E-84,0.261307015,0.746,0.409,3.47E-80,IM,56915
CHD7,1.56E-84,0.377341236,0.775,0.434,3.48E-80,IM,55636
SGTA,1.74E-84,0.270882195,0.737,0.398,3.89E-80,IM,6449
MAGOH,2.75E-84,0.396357663,0.913,0.746,6.16E-80,IM,4116
CLIC1,4.85E-84,0.2988006,0.972,0.979,1.09E-79,IM,1192
CLIC1,6.80E-54,0.288574762,0.998,0.974,1.52E-49,EMP-pre-MC,1192
PDIA3,5.91E-84,0.44705316,0.927,0.814,1.32E-79,IM,2923
MRPL12,2.27E-86,0.465506033,0.962,0.871,5.08E-82,Myeloid,6182
MRPL12,6.13E-84,0.397868574,0.938,0.872,1.37E-79,IM,6182
POLR2E,7.81E-84,0.353949171,0.906,0.849,1.75E-79,IM,5434
TRAF4,8.38E-84,0.278028313,0.712,0.364,1.87E-79,IM,9618
TBCA,1.42E-83,0.294893426,0.954,0.939,3.19E-79,IM,6902
MIF,5.80E-51,0.250620134,0.974,0.86,1.30E-46,MPP-pre-MC,4282
MIF,1.55E-83,0.380288029,0.932,0.868,3.48E-79,IM,4282
ALYREF,1.73E-83,0.419797925,0.89,0.73,3.88E-79,IM,10189
DNAJA1,2.21E-83,0.429968962,0.924,0.818,4.95E-79,IM,3301
PFKP,3.47E-83,0.328657611,0.772,0.439,7.77E-79,IM,5214
HNRNPA1,3.93E-83,0.306668199,0.99,0.988,8.80E-79,IM,3178
HNRNPA1,2.55E-103,0.327264472,0.995,0.988,5.70E-99,MPP-pre-MC,3178
SINHCAF,7.65E-83,0.378673817,0.837,0.576,1.71E-78,IM,58516
RPS21,1.09E-94,0.25513375,0.993,0.981,2.44E-90,MPP-pre-MC,6227
RPS21,1.35E-82,0.277601376,0.979,0.984,3.01E-78,IM,6227
RPS21,2.08E-81,0.274151693,0.998,0.981,4.65E-77,Myeloid,6227
PTGES3,1.50E-82,0.383743579,0.934,0.915,3.35E-78,IM,10728
EML4,1.72E-82,0.290925078,0.705,0.353,3.85E-78,IM,27436
VAMP5,1.88E-82,0.495678944,0.884,0.702,4.20E-78,IM,10791
PRDX2,9.10E-82,0.373131636,0.913,0.82,2.04E-77,IM,7001
MDH2,1.36E-81,0.374315282,0.907,0.863,3.05E-77,IM,4191
FABP5,1.64E-132,0.739889443,0.977,0.786,3.66E-128,Myeloid,2171
FABP5,1.44E-81,0.458337388,0.937,0.786,3.22E-77,IM,2171
FABP5,8.54E-59,0.276987395,0.967,0.779,1.91E-54,MPP-pre-MC,2171
HES1,1.91E-81,0.396663745,0.557,0.216,4.28E-77,IM,3280
RRP1,2.79E-81,0.268441994,0.714,0.36,6.25E-77,IM,8568
WDR75,3.03E-81,0.252760592,0.584,0.234,6.79E-77,IM,84128
PDIA6,3.05E-81,0.407325592,0.931,0.836,6.83E-77,IM,10130
XRCC5,5.00E-81,0.451140496,0.928,0.864,1.12E-76,IM,7520
NDUFAB1,7.22E-81,0.324269282,0.921,0.895,1.62E-76,IM,4706
RAB34,7.63E-81,0.346815978,0.827,0.617,1.71E-76,IM,83871
ESF1,1.51E-80,0.369828443,0.778,0.454,3.38E-76,IM,51575
SSR2,2.21E-80,0.352422872,0.91,0.856,4.94E-76,IM,6746
SSRP1,3.10E-80,0.341980923,0.884,0.677,6.94E-76,IM,6749
SNRPD2,3.47E-80,0.270608127,0.959,0.961,7.77E-76,IM,6633
EIF3J,8.55E-80,0.41167769,0.928,0.837,1.91E-75,IM,8669
PMF1,9.16E-80,0.31623104,0.844,0.593,2.05E-75,IM,11243
SHC1,1.80E-79,0.347503576,0.844,0.561,4.02E-75,IM,6464
SEC61G,4.00E-79,0.293705126,0.949,0.954,8.96E-75,IM,23480
NAP1L4,4.56E-79,0.337926794,0.827,0.557,1.02E-74,IM,4676
NUDT5,5.87E-79,0.326373441,0.872,0.695,1.31E-74,IM,11164
NOP56,7.70E-79,0.425337343,0.909,0.732,1.72E-74,IM,10528
NOP56,3.12E-55,0.33539,0.913,0.737,6.98E-51,Myeloid,10528
PSMD7,1.13E-78,0.375476628,0.905,0.797,2.54E-74,IM,5713
GART,2.67E-78,0.281748919,0.721,0.386,5.97E-74,IM,2618
BZW2,5.18E-78,0.366342145,0.869,0.639,1.16E-73,IM,28969
ECHS1,5.78E-78,0.352826164,0.869,0.717,1.29E-73,IM,1892
VCP,7.08E-78,0.391000339,0.915,0.777,1.58E-73,IM,7415
RPL17,7.27E-78,0.31025037,0.956,0.946,1.63E-73,IM,6139
RPL17,1.19E-73,0.253561164,0.982,0.942,2.67E-69,MPP-pre-MC,6139
PSMC6,1.61E-77,0.368323026,0.88,0.66,3.60E-73,IM,5706
BCAS2,1.85E-77,0.282810154,0.749,0.446,4.14E-73,IM,10286
ATP5MD,1.90E-77,0.272328132,0.94,0.958,4.25E-73,IM,84833
COL1A2,2.10E-77,0.308012862,0.665,0.34,4.70E-73,IM,1278
ATXN10,2.27E-77,0.339213352,0.819,0.561,5.09E-73,IM,25814
KNOP1,3.63E-77,0.364897577,0.824,0.537,8.11E-73,IM,400506
ILF3,1.56E-76,0.416477714,0.921,0.772,3.50E-72,IM,3609
REEP5,2.13E-76,0.300985031,0.799,0.517,4.76E-72,IM,7905
ATP5ME,3.08E-76,0.290461604,0.962,0.954,6.89E-72,IM,521
EPB41L2,4.39E-76,0.290861652,0.717,0.389,9.82E-72,IM,2037
RPP30,6.68E-76,0.297226718,0.787,0.473,1.49E-71,IM,10556
PSMD14,1.23E-75,0.345270092,0.843,0.638,2.76E-71,IM,10213
MRFAP1,1.32E-75,0.325019441,0.915,0.876,2.95E-71,IM,93621
PDIA4,2.15E-75,0.342438497,0.844,0.572,4.82E-71,IM,9601
PDIA4,2.54E-49,0.27676548,0.843,0.581,5.69E-45,Myeloid,9601
KRT19,2.83E-75,0.496397478,0.615,0.284,6.33E-71,IM,3880
SNRPG,4.82E-75,0.349610393,0.956,0.955,1.08E-70,IM,6637
CHCHD10,8.66E-75,0.390764096,0.921,0.87,1.94E-70,IM,400916
DERA,9.89E-75,0.282993777,0.764,0.46,2.21E-70,IM,51071
GYPA,4.56E-17,0.250340527,0.273,0.183,1.02E-12,EMP,2993
GYPA,1.01E-74,0.320777169,0.471,0.168,2.25E-70,IM,2993
PTS,1.35E-74,0.271040633,0.722,0.385,3.02E-70,IM,5805
PEF1,1.41E-74,0.282935851,0.742,0.409,3.16E-70,IM,553115
SUGT1,1.53E-74,0.328237946,0.85,0.651,3.42E-70,IM,10910
PSMD13,1.81E-74,0.315799951,0.849,0.626,4.05E-70,IM,5719
NUP93,2.86E-74,0.29394212,0.678,0.336,6.40E-70,IM,9688
COPRS,3.26E-74,0.287927371,0.767,0.429,7.30E-70,IM,55352
COPRS,3.52E-65,0.272019127,0.779,0.438,7.87E-61,Myeloid,55352
SRM,1.52E-48,0.272433986,0.952,0.792,3.41E-44,MPP-pre-MC,6723
SRM,6.74E-74,0.392683148,0.925,0.798,1.51E-69,IM,6723
SRM,3.44E-105,0.635444941,0.947,0.799,7.70E-101,Myeloid,6723
NDUFAF4,1.03E-73,0.332992555,0.805,0.519,2.30E-69,IM,29078
KLF1,4.96E-56,0.38629141,0.633,0.46,1.11E-51,EMP,10661
KLF1,1.69E-73,0.27971688,0.802,0.463,3.79E-69,IM,10661
CLEC11A,2.08E-73,0.383686886,0.891,0.697,4.66E-69,IM,6320
ISYNA1,2.25E-73,0.3512098,0.786,0.524,5.04E-69,IM,51477
COPS8,2.92E-73,0.289666982,0.774,0.495,6.54E-69,IM,10920
BEX4,3.02E-73,0.383500035,0.865,0.721,6.76E-69,IM,56271
SF3B2,3.71E-73,0.413717293,0.905,0.746,8.29E-69,IM,10992
KRTCAP2,3.71E-73,0.326780861,0.863,0.758,8.31E-69,IM,200185
CCDC124,4.38E-73,0.35036665,0.88,0.724,9.80E-69,IM,115098
PAK1IP1,5.38E-73,0.303412218,0.673,0.349,1.20E-68,IM,55003
CNIH4,7.16E-73,0.294014109,0.838,0.619,1.60E-68,IM,29097
EIF2S1,7.23E-73,0.327471536,0.825,0.566,1.62E-68,IM,1965
RNF7,9.66E-73,0.321804379,0.909,0.872,2.16E-68,IM,9616
PLAGL1,2.14E-72,0.33999187,0.838,0.553,4.80E-68,IM,5325
RTCB,2.19E-72,0.300446928,0.816,0.565,4.90E-68,IM,51493
PPP1CC,2.61E-72,0.376294362,0.913,0.784,5.85E-68,IM,5501
CCNB2,2.82E-72,0.331148653,0.733,0.414,6.30E-68,IM,9133
ATP5F1A,3.50E-72,0.361142222,0.937,0.92,7.82E-68,IM,498
PSMD8,3.80E-72,0.353547247,0.915,0.871,8.51E-68,IM,5714
PDAP1,7.33E-72,0.32176711,0.912,0.811,1.64E-67,IM,11333
PSMA5,7.65E-72,0.334157773,0.885,0.824,1.71E-67,IM,5686
EMG1,8.63E-72,0.307004205,0.793,0.503,1.93E-67,IM,10436
HNRNPU,8.89E-72,0.416008949,0.956,0.9,1.99E-67,IM,3192
TNPO1,1.18E-71,0.377223152,0.814,0.54,2.65E-67,IM,3842
NOL7,1.39E-71,0.35687477,0.896,0.819,3.10E-67,IM,51406
DDX1,7.68E-71,0.36448445,0.883,0.708,1.72E-66,IM,1653
DDX10,1.06E-70,0.26954872,0.617,0.28,2.38E-66,IM,1662
HDDC2,1.35E-70,0.329574867,0.858,0.694,3.02E-66,IM,51020
NT5C3B,1.41E-70,0.264951381,0.718,0.426,3.16E-66,IM,115024
NIFK,4.52E-70,0.322322635,0.859,0.642,1.01E-65,IM,84365
UBE2N,6.93E-70,0.347835297,0.89,0.801,1.55E-65,IM,7334
UBC,1.05E-69,0.391918096,0.946,0.897,2.34E-65,IM,7316
POLR2I,1.23E-69,0.312327455,0.896,0.819,2.74E-65,IM,5438
CCDC58,1.34E-69,0.288434728,0.821,0.565,2.99E-65,IM,131076
MAP1B,1.56E-57,0.299876053,0.757,0.568,3.50E-53,EMP-pre-MC,4131
MAP1B,1.35E-69,0.390790237,0.865,0.564,3.01E-65,IM,4131
MRPS2,1.77E-69,0.289088605,0.803,0.535,3.96E-65,IM,51116
RPF2,2.03E-69,0.294756113,0.721,0.4,4.53E-65,IM,84154
DDX21,2.98E-69,0.44044515,0.934,0.801,6.67E-65,IM,9188
DDX21,3.20E-75,0.455237553,0.945,0.805,7.15E-71,Myeloid,9188
SMARCA4,8.15E-69,0.359203864,0.896,0.745,1.82E-64,IM,6597
NDUFV3,9.35E-69,0.321877387,0.894,0.77,2.09E-64,IM,4731
PRPF31,9.78E-69,0.282777049,0.836,0.554,2.19E-64,IM,26121
POLR2H,9.82E-69,0.304818779,0.874,0.738,2.20E-64,IM,5437
PPIH,1.58E-68,0.3021569,0.799,0.551,3.54E-64,IM,10465
PSMA3,1.73E-68,0.30821315,0.912,0.833,3.87E-64,IM,5684
SOD1,1.96E-68,0.266627742,0.934,0.937,4.39E-64,IM,6647
PMPCA,2.34E-68,0.279159965,0.69,0.366,5.24E-64,IM,23203
GYPB,2.72E-68,0.475916505,0.843,0.601,6.09E-64,IM,2994
GYPB,1.03E-35,0.489944493,0.707,0.605,2.31E-31,EMP,2994
SNRPB,2.89E-68,0.314176166,0.949,0.93,6.47E-64,IM,6628
DSTN,4.46E-68,0.297088937,0.919,0.875,9.98E-64,IM,11034
PSMA2,4.84E-68,0.302666358,0.932,0.927,1.08E-63,IM,5683
WDR43,1.18E-67,0.278542706,0.762,0.434,2.64E-63,IM,23160
DYNC1I2,1.29E-67,0.315735405,0.88,0.677,2.89E-63,IM,1781
C20orf27,4.19E-80,0.401240581,0.89,0.612,9.39E-76,Myeloid,54976
C20orf27,1.42E-67,0.349871643,0.85,0.608,3.17E-63,IM,54976
SYAP1,1.71E-67,0.279410487,0.761,0.459,3.82E-63,IM,94056
TMBIM6,1.93E-67,0.357527011,0.924,0.853,4.33E-63,IM,7009
PGK1,2.90E-67,0.373199028,0.938,0.885,6.50E-63,IM,5230
ANXA2,3.12E-67,0.332203205,0.742,0.434,6.98E-63,IM,302
AP2S1,3.57E-67,0.274485457,0.935,0.949,7.98E-63,IM,1175
TMEM109,3.61E-67,0.258342197,0.705,0.38,8.07E-63,IM,79073
CCNB1,4.35E-67,0.462978561,0.731,0.412,9.73E-63,IM,891
RUNX1T1,5.03E-67,0.252838837,0.678,0.335,1.13E-62,IM,862
TIMM44,6.73E-67,0.285375567,0.797,0.492,1.51E-62,IM,10469
ITGB1,1.64E-66,0.41426997,0.912,0.798,3.67E-62,IM,3688
TRIM8,2.31E-66,0.350632938,0.767,0.462,5.17E-62,IM,81603
NTMT1,4.61E-66,0.264308028,0.787,0.51,1.03E-61,IM,28989
HHEX,4.98E-66,0.292993002,0.759,0.439,1.11E-61,IM,3087
FXR1,7.95E-66,0.335946202,0.885,0.71,1.78E-61,IM,8087
UBE2S,1.02E-65,0.510023142,0.909,0.737,2.27E-61,IM,27338
NRBP1,1.19E-65,0.265710617,0.781,0.496,2.65E-61,IM,29959
IMPDH2,1.63E-65,0.356170315,0.922,0.8,3.65E-61,IM,3615
IMPDH2,1.70E-77,0.334700628,0.967,0.791,3.79E-73,MPP-pre-MC,3615
WDR60,1.71E-65,0.325498512,0.7,0.383,3.83E-61,IM,55112
SNRPA1,2.08E-65,0.342504164,0.862,0.669,4.66E-61,IM,6627
TAF7,2.73E-65,0.363046726,0.887,0.808,6.10E-61,IM,6879
TRIOBP,2.83E-65,0.263758812,0.673,0.369,6.34E-61,IM,11078
NTHL1,3.52E-65,0.269181886,0.796,0.497,7.88E-61,IM,4913
EIF3I,3.12E-64,0.300342845,0.894,0.841,6.98E-60,IM,8668
SNRNP70,3.88E-64,0.308765101,0.913,0.803,8.69E-60,IM,6625
ADH5,5.24E-64,0.321273018,0.866,0.681,1.17E-59,IM,128
HOXB6,9.07E-64,0.254864164,0.564,0.243,2.03E-59,IM,3216
AKAP12,1.29E-63,0.295186878,0.414,0.149,2.89E-59,IM,9590
HNRNPA1P48,1.36E-63,0.337403805,0.906,0.782,3.05E-59,IM,642659
MRPL28,1.89E-63,0.323921559,0.868,0.73,4.22E-59,IM,10573
KPNA2,2.33E-63,0.415085614,0.883,0.686,5.21E-59,IM,3838
C12orf10,5.69E-63,0.264334278,0.802,0.538,1.27E-58,IM,60314
HSD17B10,6.72E-63,0.288241733,0.862,0.741,1.50E-58,IM,3028
NAA15,2.38E-62,0.289579818,0.743,0.449,5.33E-58,IM,80155
CPSF3,2.94E-62,0.281061748,0.69,0.377,6.59E-58,IM,51692
HNRNPA0,3.46E-62,0.310756619,0.925,0.877,7.74E-58,IM,10949
MRPL15,4.62E-62,0.286350614,0.83,0.634,1.03E-57,IM,29088
C1GALT1,5.10E-62,0.266931857,0.684,0.377,1.14E-57,IM,56913
PGRMC1,6.60E-62,0.326334674,0.828,0.606,1.48E-57,IM,10857
PUM3,1.04E-61,0.293128061,0.715,0.403,2.32E-57,IM,9933
KPNB1,2.10E-61,0.359904133,0.943,0.837,4.70E-57,IM,3837
TMA16,2.30E-61,0.306205993,0.847,0.629,5.14E-57,IM,55319
TERF1,3.70E-61,0.300748704,0.765,0.475,8.27E-57,IM,7013
MRPL22,3.97E-61,0.250958179,0.883,0.773,8.89E-57,IM,29093
LMO2,4.46E-61,0.441634682,0.819,0.642,9.98E-57,IM,4005
EIF1AX,4.87E-61,0.373933645,0.916,0.822,1.09E-56,IM,1964
CBX1,8.24E-61,0.329706291,0.836,0.646,1.85E-56,IM,10951
FKBP1A,9.08E-61,0.27267888,0.935,0.941,2.03E-56,IM,2280
SLC39A1,1.03E-60,0.264384526,0.793,0.547,2.31E-56,IM,27173
BCL2L12,1.06E-60,0.306442683,0.852,0.625,2.37E-56,IM,83596
GMPS,1.75E-60,0.261119534,0.796,0.517,3.93E-56,IM,8833
ERI3,1.84E-60,0.263608966,0.787,0.527,4.13E-56,IM,79033
MRPL42,1.90E-60,0.28486724,0.86,0.682,4.24E-56,IM,28977
C4orf48,2.40E-60,0.338373752,0.93,0.865,5.36E-56,IM,401115
RAB11A,2.59E-60,0.266899559,0.931,0.891,5.80E-56,IM,8766
RAB11A,1.60E-58,0.257512118,0.963,0.881,3.59E-54,EMP-pre-MC,8766
SRSF11,3.00E-60,0.353362916,0.919,0.857,6.70E-56,IM,9295
BTF3L4,6.71E-60,0.298632504,0.871,0.707,1.50E-55,IM,91408
CSNK2B,7.80E-60,0.27652886,0.916,0.88,1.75E-55,IM,1460
BEX3,8.70E-60,0.266509137,0.944,0.946,1.95E-55,IM,27018
YWHAQ,1.45E-59,0.349909978,0.918,0.87,3.26E-55,IM,10971
SNRPA,1.51E-59,0.31088369,0.871,0.683,3.38E-55,IM,6626
PRDX4,1.73E-59,0.331051248,0.869,0.743,3.86E-55,IM,10549
HSD17B12,3.28E-59,0.297402084,0.805,0.569,7.34E-55,IM,51144
SF3B6,3.84E-59,0.255966305,0.94,0.928,8.59E-55,IM,51639
PDHA1,5.30E-59,0.254371638,0.784,0.543,1.19E-54,IM,5160
CALM3,5.89E-59,0.268576576,0.93,0.922,1.32E-54,IM,808
EIF5,5.91E-59,0.338539184,0.893,0.802,1.32E-54,IM,1983
PSMD12,6.87E-59,0.250346516,0.774,0.488,1.54E-54,IM,5718
MORF4L1,8.05E-59,0.258786588,0.95,0.947,1.80E-54,IM,10933
IP6K2,9.44E-59,0.267567156,0.775,0.553,2.11E-54,IM,51447
TUBA1B,1.10E-58,0.400958543,0.985,0.972,2.46E-54,IM,10376
TUBA1B,7.14E-65,0.406519451,1,0.971,1.60E-60,Myeloid,10376
VAPA,1.42E-58,0.309858351,0.928,0.882,3.19E-54,IM,9218
MRPS26,1.47E-58,0.309937921,0.887,0.651,3.29E-54,IM,64949
MRPS26,9.49E-71,0.280904036,0.932,0.641,2.12E-66,MPP-pre-MC,64949
MRPS26,1.48E-43,0.299430143,0.875,0.66,3.31E-39,Myeloid,64949
PHF6,1.59E-58,0.269235242,0.717,0.446,3.55E-54,IM,84295
TOMM20,2.01E-58,0.273008633,0.924,0.856,4.51E-54,IM,9804
MTHFD1,2.17E-58,0.27862642,0.652,0.338,4.85E-54,IM,4522
DHX36,2.83E-58,0.351836529,0.868,0.694,6.33E-54,IM,170506
ACTR1A,3.95E-58,0.260492141,0.791,0.496,8.83E-54,IM,10121
PSMC1,5.19E-58,0.287974139,0.865,0.694,1.16E-53,IM,5700
MAGOHB,9.42E-58,0.263631644,0.793,0.549,2.11E-53,IM,55110
FKBP8,9.70E-58,0.275634629,0.921,0.877,2.17E-53,IM,23770
HSPA4,1.08E-57,0.29064067,0.772,0.534,2.41E-53,IM,3308
COL1A1,1.63E-57,0.325629979,0.724,0.486,3.66E-53,IM,1277
DAZAP1,2.27E-57,0.319452377,0.846,0.627,5.09E-53,IM,26528
GTPBP4,2.78E-57,0.288476644,0.831,0.599,6.23E-53,IM,23560
BAG6,2.80E-57,0.276914671,0.761,0.484,6.26E-53,IM,7917
MRPL13,2.86E-57,0.283836147,0.85,0.677,6.41E-53,IM,28998
BST2,3.20E-57,0.32252878,0.609,0.303,7.16E-53,IM,684
BST2,1.58E-107,0.334021714,0.692,0.286,3.53E-103,MPP-pre-MC,684
HMGB1,6.06E-57,0.355082371,0.99,0.982,1.36E-52,IM,3146
HMGB1,2.63E-71,0.280090093,0.97,0.988,5.88E-67,EMP,3146
ALDH9A1,6.15E-57,0.257880798,0.705,0.424,1.38E-52,IM,223
APLP2,6.24E-57,0.290241795,0.849,0.619,1.40E-52,IM,334
GADD45GIP1,8.36E-57,0.285395688,0.943,0.898,1.87E-52,IM,90480
GADD45GIP1,3.05E-51,0.279946771,0.966,0.897,6.82E-47,Myeloid,90480
TMEM97,1.29E-56,0.350346377,0.834,0.61,2.88E-52,IM,27346
XRN2,1.38E-56,0.334543622,0.869,0.741,3.09E-52,IM,22803
U2AF2,2.36E-56,0.258220282,0.767,0.491,5.28E-52,IM,11338
PTTG1,1.34E-27,0.31065834,0.79,0.766,3.00E-23,EMP,9232
PTTG1,3.11E-56,0.465007918,0.9,0.753,6.96E-52,IM,9232
ELOC,3.30E-56,0.287427296,0.918,0.889,7.38E-52,IM,6921
NDUFB3,3.61E-56,0.256376544,0.927,0.905,8.07E-52,IM,4709
TXNL1,3.64E-56,0.307127837,0.878,0.742,8.15E-52,IM,9352
UBE2M,4.69E-56,0.298366668,0.881,0.778,1.05E-51,IM,9040
